channel,tvg_id,group,working,reason,seconds,host,url
365 days TV (576p),365daysTV.ru,RU Documentary,YES,playing,1.4,stream8.cinerama.uz,https://stream8.cinerama.uz/1242/tracks-v1a1/mono.m3u8
365 days TV (576p),365daysTV.ru,RU Documentary,YES,playing,2.0,fs.uplink.kz,https://fs.uplink.kz/365_dney/mono.m3u8?token=onlinetv
Adventure Earth (1080p),AdventureEarth.de,DE Documentary,YES,playing,0.4,a57e9c69976649b582a8d7604c00e69a.mediatailor.us-east-1.amazonaws.com,https://a57e9c69976649b582a8d7604c00e69a.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/RlaxxTV-eu_AdventureEarth/playlist.m3u8
Adventure Earth (720p),AdventureEarth.de,DE Documentary,YES,playing,0.2,autentic-adventure-earth-1-eu.rakuten.wurl.tv,https://autentic-adventure-earth-1-eu.rakuten.wurl.tv/playlist.m3u8
Adventure Earth (720p),AdventureEarth.de,DE Documentary,YES,playing,0.2,autentic-adventure-earth-1-gb.samsung.wurl.tv,https://autentic-adventure-earth-1-gb.samsung.wurl.tv/playlist.m3u8
Al Arabiya Programs (1280p),AlArabiyaPrograms.ae,AE Documentary,YES,playing,0.5,live.alarabiya.net,https://live.alarabiya.net/alarabiapublish/aaprograms.smil/playlist.m3u8
Archivos Forenses,ArchivosForenses.us,US Documentary,YES,playing,0.1,jmp2.uk,https://jmp2.uk/plu-5efb8c19b2678b000780d032.m3u8
Archivos Forenses,ArchivosForenses.us,US Documentary,YES,playing,0.8,jmp2.uk,https://jmp2.uk/plu-5f984f4a09e92d0007d74647.m3u8
Arsenal (576p),Arsenal.ru,RU Documentary,YES,playing,2.3,stream8.cinerama.uz,https://stream8.cinerama.uz/1414/tracks-v1a1/mono.m3u8
Asharq Discovery (1080p),AsharqDiscovery.sa,SA Documentary,YES,playing,1.6,svs.itworkscdn.net,https://svs.itworkscdn.net/asharqdiscoverylive/asharqd.smil/playlist_dvr.m3u8
Asharq Documentary (1080p),AsharqDocumentary.sa,SA Documentary,YES,playing,1.3,svs.itworkscdn.net,https://svs.itworkscdn.net/asharqdocumentarylive/asharqdocumentary.smil/playlist_dvr.m3u8
Atlas (480p),Atlas.us,US Documentary,YES,playing,0.6,cdn.whiplash.cc,https://cdn.whiplash.cc/whiplash-atlas/index.m3u8
Autentic History (1080p),AutenticHistory.de,DE Documentary,YES,playing,0.3,9e754fa707344ccca6d84955c8fcaf36.mediatailor.us-east-1.amazonaws.com,https://9e754fa707344ccca6d84955c8fcaf36.mediatailor.us-east-1.amazonaws.com/v1/master/44f73ba4d03e9607dcd9bebdcb8494d86964f1d8/RlaxxTV-eu_AutenticHistory/playlist.m3u8
