channel,tvg_id,group,working,reason,seconds,host,url
Aaj Entertainment (1080p),AajEntertainment.pk,PK Entertainment,YES,playing,3.8,ml-pull-dvc-myco.io:2096,https://ml-pull-dvc-myco.io:2096/AAJ_ENTERTAINMENT/index.m3u8
Aakaash Aath (576p),AakaashAath.in,IN Entertainment,YES,playing,1.9,tvsen5.aynascope.net,http://tvsen5.aynascope.net/Wm9Lv2RjZGT6/index.m3u8
Aakaash Aath (576p),AakaashAath.in,IN Entertainment,YES,playing,3.0,mumt03.tangotv.in,https://mumt03.tangotv.in/Dsly5z3HAAKASHAATH/index.m3u8
Aamar Bangla (720p),AamarBangla.in,IN Entertainment,YES,playing,1.1,app.ncare.live,https://app.ncare.live/c3VydmVyX8RpbEU9Mi8xNy8yMDE0GIDU6RgzQ6NTAgdEoaeFzbF92YWxIZTO0U0ezN1IzMyfvcGVMZEJCTEFWeVN3PTOmdFsaWRtaW51aiPhnPTI/amarbanglatv.stream/playlist.m3u8
Amrita TV (576p),AmritaTV.in,IN Entertainment,YES,playing,3.1,mumt07.tangotv.in,https://mumt07.tangotv.in/zHjX9OFlAMRITATV/index.m3u8
Amrita TV (720p),AmritaTV.in,IN Entertainment,YES,playing,0.7,ddash74r36xqp.cloudfront.net,https://ddash74r36xqp.cloudfront.net/master.m3u8
Anjan TV (576p),AnjanTV.in,IN Entertainment,YES,playing,2.7,cdn-1.pishow.tv,https://cdn-1.pishow.tv/live/993/master.m3u8
Anjan TV (576p),AnjanTV.in,IN Entertainment,YES,playing,2.9,mumt06.tangotv.in,https://mumt06.tangotv.in/qYyB8fXVANJANTV/index.m3u8
Anjan TV (720p),AnjanTV.in,IN Entertainment,YES,playing,2.9,anjan.vstream.online,https://anjan.vstream.online/anjanorg/ngrp:anjan_hdall/playlist.m3u8
Asianet HD (720p),Asianet.in@HD,IN Entertainment,YES,playing,0.4,raw.githubusercontent.com,https://raw.githubusercontent.com/amazeyourself/adaptive-streams/refs/heads/main/streams/in/YuppTV/AsianetHD.m3u8
Asianet Middle East (576p),AsianetMiddleEast.in,IN Entertainment,YES,playing,3.0,mumt03.tangotv.in,https://mumt03.tangotv.in/Dsly5z3HASIANETMIDDLEEAST/index.m3u8
Brio TV (576p),BrioTV.in,IN Entertainment,YES,playing,3.1,mumt03.tangotv.in,https://mumt03.tangotv.in/Dsly5z3HBRIOTV/index.m3u8
Colors Gujarati (396p),ColorsGujarati.in,IN Entertainment,YES,playing,0.4,raw.githubusercontent.com,https://raw.githubusercontent.com/amazeyourself/adaptive-streams/refs/heads/main/streams/in/YuppTV/ColorsGujarati.m3u8
Colors Kannada HD (1080i),ColorsKannada.in@HD,IN Entertainment,YES,playing,0.4,da86m1sqpm3o0.cloudfront.net,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:colorskannadahd1.smil/playlist.m3u8
Colors MENA HD (720p),ColorsMENA.in@HD,IN Entertainment,YES,playing,0.4,da86m1sqpm3o0.cloudfront.net,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:colorsme.smil/playlist.m3u8
Colors Tamil HD (720p),ColorsTamil.in@HD,IN Entertainment,YES,playing,0.5,da86m1sqpm3o0.cloudfront.net,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:colorstamilhd11.smil/playlist.m3u8
Dangal 2 (576p),Dangal2.in,IN Entertainment,YES,playing,2.6,tvsen3.aynaott.com,https://tvsen3.aynaott.com/8KfZvBYS/index.m3u8
Dangal 2 (576p),Dangal2.in,IN Entertainment,YES,playing,3.1,streams.tangotv.in,https://streams.tangotv.in/DANGAL2/ORIGIN/index.m3u8
Dangal 2 (720p),Dangal2.in,IN Entertainment,YES,playing,2.2,live-dangal2.akamaized.net,https://live-dangal2.akamaized.net/liveabr/playlist.m3u8
Darshana TV (576p),DarshanaTV.in,IN Entertainment,YES,playing,1.8,yuppparoriglin.akamaized.net,https://yuppparoriglin.akamaized.net/181224/smil:darshanatv.smil/playlist.m3u8?hdnts=st=1735898689~exp=1835898688~acl=*~hmac=f5fe24724fe05481e3841f9eb5ab8efdee0a3dd83645ae9dcf45703f525bab7b
