channel,tvg_id,group,working,reason,seconds,host,url
&TV HD (1080p),AndTV.in@HD,IN Movies,YES,playing,1.5,202.70.146.135:8000,http://202.70.146.135:8000/play/a06c/index.m3u8
&TV International (1080p),AndTV.in@International,IN Movies,YES,playing,0.4,3f56f997.wurl.com,https://3f56f997.wurl.com/master/f36d25e7e52f1ba8d7e56eb859c636563214f541/U2Ftc3VuZy1nYl9BbmRUVl9ITFM/playlist.m3u8
&xplor HD (1080p),AndxplorHD.in,IN Movies,YES,playing,2.0,66.102.126.10:8000,http://66.102.126.10:8000/play/a028/index.m3u8
Asianet Movies HD (720p),AsianetMovies.in@HD,IN Movies,YES,playing,0.3,da86m1sqpm3o0.cloudfront.net,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:asianetmovies1.smil/playlist.m3u8
B4U Bhojpuri (1080p),B4UBhojpuri.in,IN Movies,YES,playing,0.6,cdnb4u.wiseplayout.com,https://cdnb4u.wiseplayout.com/B4U_Bhojpuri/master.m3u8
B4U Bhojpuri (576p),B4UBhojpuri.in,IN Movies,YES,playing,2.8,streams.tangotv.in,https://streams.tangotv.in/B4UBHOJPURI/ORIGIN/index.m3u8
B4U Kadak,B4UKadak.in,IN Movies,YES,playing,2.3,cdn-2.pishow.tv,https://cdn-2.pishow.tv/live/227/master.m3u8
B4U Kadak (576p),B4UKadak.in,IN Movies,YES,playing,2.7,streams.tangotv.in,https://streams.tangotv.in/B4UKADAK/ORIGIN/index.m3u8
B4U Movies,B4UMovies.in,IN Movies,YES,playing,2.5,cdn-2.pishow.tv,https://cdn-2.pishow.tv/live/419/master.m3u8
B4U Movies (576p),B4UMovies.in,IN Movies,YES,playing,2.0,66.102.126.10:8000,http://66.102.126.10:8000/play/a01n/index.m3u8
B4U Movies (576p),B4UMovies.in,IN Movies,YES,playing,2.7,streams.tangotv.in,https://streams.tangotv.in/B4UMOVIES/ORIGIN/index.m3u8
Bhojpuri Cinema,BhojpuriCinema.in,IN Movies,YES,playing,2.1,cdn-4.pishow.tv,https://cdn-4.pishow.tv/live/1033/master.m3u8
Bhojpuri Cinema (576p),BhojpuriCinema.in,IN Movies,YES,playing,2.8,streams.tangotv.in,https://streams.tangotv.in/BHOJPURICINEMA/ORIGIN/index.m3u8
Bhojpuri Cinema (720p),BhojpuriCinema.in,IN Movies,YES,playing,1.7,live-bhojpuri.akamaized.net,https://live-bhojpuri.akamaized.net/liveabr/playlist.m3u8
Colors Cineplex Bollywood (576p),ColorsCineplexBollywood.in,IN Movies,YES,playing,1.5,202.70.146.135:8000,http://202.70.146.135:8000/play/a058/index.m3u8
Colors Cineplex HD (1080p),ColorsCineplex.in@HD,IN Movies,YES,playing,2.0,66.102.126.10:8000,http://66.102.126.10:8000/play/a076/index.m3u8
Epic Bhojpuri (576p),EpicBhojpuri.in,IN Movies,YES,playing,2.9,mumt01.tangotv.in,https://mumt01.tangotv.in/O5aw8Zn3EPICBHOJPURI/index.m3u8
Epic Bhojpuri Digital (1080p),EpicBhojpuri.in@Digital,IN Movies,YES,playing,3.2,cc-8hy4a26pz2uos.akamaized.net,https://cc-8hy4a26pz2uos.akamaized.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-8hy4a26pz2uos/playlist.m3u8
ETV Cinema HD (1080p),ETVCinema.in@HD,IN Movies,YES,playing,1.5,d27zlkxhgwrfgo.cloudfront.net,https://d27zlkxhgwrfgo.cloudfront.net/v1/master/9d43eacaed199f8d5883927e7aef514a8a08e108/ETV_CINEMA_H264_cloud_in/index.m3u8
Filmax (576p),Filmax.pk,PK Movies,YES,playing,1.5,s3.ideationtec.live,https://s3.ideationtec.live/Filmax/Filmax.m3u8
Goldmines (576p),Goldmines.in,IN Movies,YES,playing,2.8,streams.tangotv.in,https://streams.tangotv.in/GOLDMINES/ORIGIN/index.m3u8
Goldmines (576p),Goldmines.in,IN Movies,YES,playing,2.1,cdn-2.pishow.tv,https://cdn-2.pishow.tv/live/1459/master.m3u8
Goldmines 2 (576p),Goldmines2.in,IN Movies,YES,playing,2.2,cdn-2.pishow.tv,https://cdn-2.pishow.tv/live/1460/master.m3u8
Goldmines Bollywood (576p),GoldminesBollywood.in,IN Movies,YES,playing,2.6,streams.tangotv.in,https://streams.tangotv.in/GOLDMINESBOLLYWOOD/ORIGIN/index.m3u8
Goldmines Movies (576p),GoldminesMovies.in,IN Movies,YES,playing,2.2,cdn-2.pishow.tv,https://cdn-2.pishow.tv/live/1461/master.m3u8
Goldmines Movies (576p),GoldminesMovies.in,IN Movies,YES,playing,2.7,streams.tangotv.in,https://streams.tangotv.in/GOLDMINEMOVIES/ORIGIN/index.m3u8
Goldmines Movies (576p),GoldminesMovies.in,IN Movies,YES,playing,2.9,tvsen3.aynaott.com,https://tvsen3.aynaott.com/5CGfPvGp/index.m3u8
Indywood TV (720p),IndywoodTV.in,IN Movies,YES,playing,1.6,43wrzjnpqoxe-hls-live.wmncdn.net,https://43wrzjnpqoxe-hls-live.wmncdn.net/indywood/indywoodtv/index.m3u8
Kairali We (576p),KairaliWe.in,IN Movies,YES,playing,2.3,cdn-3.pishow.tv,https://cdn-3.pishow.tv/live/1530/master.m3u8
Kairali We (576p),KairaliWe.in,IN Movies,YES,playing,2.7,streams.tangotv.in,https://streams.tangotv.in/WETV/ORIGIN/index.m3u8
Kairali We (576p),KairaliWe.in,IN Movies,YES,playing,2.7,mumt01.tangotv.in,https://mumt01.tangotv.in/O5aw8Zn3WETV/index.m3u8
Maha Movie (576p),MahaMovie.in,IN Movies,YES,playing,2.2,cdn-6.pishow.tv,https://cdn-6.pishow.tv/live/10007/master.m3u8
Manoranjan Grand (576p),ManoranjanGrand.in,IN Movies,YES,playing,2.7,streams.tangotv.in,https://streams.tangotv.in/MANORANJANGRAND/ORIGIN/index.m3u8
Manoranjan Movies (576p),ManoranjanMovies.in,IN Movies,YES,playing,3.2,mumt04.tangotv.in,https://mumt04.tangotv.in/m18aqlK4MANORANJANMOVIES/index.m3u8
MNX (576p),MNX.in,IN Movies,YES,playing,1.5,59.103.38.46:8000,http://59.103.38.46:8000/play/a052/index.m3u8
Oscar Movies Bhojpuri (576p),OscarMoviesBhojpuri.in,IN Movies,YES,playing,3.0,mumt05.tangotv.in,https://mumt05.tangotv.in/87NeALx2OSCARMOVIESBHOJPURI/index.m3u8
Oscar Movies Bhojpuri (720p),OscarMoviesBhojpuri.in,IN Movies,YES,playing,2.1,cdn-4.pishow.tv,https://cdn-4.pishow.tv/live/233/master.m3u8
Pitaara (576p),Pitaara.in,IN Movies,YES,playing,2.7,streams.tangotv.in,https://streams.tangotv.in/PITAARA/ORIGIN/index.m3u8
Pitaara (576p),Pitaara.in,IN Movies,YES,playing,2.8,mumt04.tangotv.in,https://mumt04.tangotv.in/m18aqlK4PITAARA/index.m3u8
Pitaara (720p),Pitaara.in,IN Movies,YES,playing,3.5,vg-pitaaratvlive.akamaized.net,https://vg-pitaaratvlive.akamaized.net/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/vglive-sk-583798/playlist.m3u8
Pocket Films,PocketFilms.in,IN Movies,YES,playing,1.1,vglivessai.akamaized.net,https://vglivessai.akamaized.net/sg/v1/manifest/611d79b11b77e2f571934fd80ca1413453772ac7/b8ada260-bb81-472b-b7c1-3a79213a84b8/e02a0ce5-6c42-4cca-bb53-e5cfecff74a9/0.m3u8
Public Movies (576p),PublicMovies.in,IN Movies,YES,playing,2.7,mumt04.tangotv.in,https://mumt04.tangotv.in/m18aqlK4PUBLICMOVIES/index.m3u8
Punjabi Shorts (1080p),PunjabiShorts.in,IN Movies,YES,playing,2.1,vglivessai.akamaized.net,https://vglivessai.akamaized.net/ptnr-yupptv/title-Punjabi_Shorts/in/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/27c3fd7a-b01f-4b00-ac03-557ac77acd47/index.m3u8
Raj Digital Plus (1080p),RajDigitalPlus.in,IN Movies,YES,playing,3.6,livestream.rajtv.tv,https://livestream.rajtv.tv/hlslive/Admin/px08241087/live/RajTV_Digital_plus/master_1.m3u8
Romedy Now (576p),RomedyNow.in,IN Movies,YES,playing,1.9,59.103.38.46:8000,http://59.103.38.46:8000/play/a05x/index.m3u8
Shemaroo Josh (576p),ShemarooJosh.in,IN Movies,YES,playing,2.9,mumt04.tangotv.in,https://mumt04.tangotv.in/m18aqlK4SHEMAROOJOSH/index.m3u8
Shemaroo Josh (720p),ShemarooJosh.in,IN Movies,YES,playing,0.9,airtelapp.shemaroo.com,https://airtelapp.shemaroo.com/shemarooChumbakTV/smil:shemarooChumbakTVadp.smil/playlist.m3u8
Shubh Cinema TV (576p),ShubhCinemaTV.in,IN Movies,YES,playing,2.9,mumt03.tangotv.in,https://mumt03.tangotv.in/Dsly5z3HSHUBHCINEMA/index.m3u8
Shubh Cinema TV (720p),ShubhCinemaTV.in,IN Movies,YES,playing,2.2,d393sxaxig6bax.cloudfront.net,https://d393sxaxig6bax.cloudfront.net/out/v1/589cf2cf44bf42bb941e817a2240d62e/index.m3u8
Sony Max 1 (720p),SonyMax1.in,IN Movies,YES,playing,3.0,103.159.180.34:5001,http://103.159.180.34:5001/live/3418.m3u8
South Station (1080p),SouthStation.in,IN Movies,YES,playing,3.4,cc-yw7ztecy8do3q.akamaized.net,https://cc-yw7ztecy8do3q.akamaized.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-yw7ztecy8do3q/SS_IN.m3u8
Star Gold 2 (576p),StarGold2.in,IN Movies,YES,playing,1.9,66.102.126.10:8000,http://66.102.126.10:8000/play/a00g/index.m3u8
Star Gold 2 HD (1080p),StarGold2.in@HD,IN Movies,YES,playing,1.9,66.102.126.10:8000,http://66.102.126.10:8000/play/a077/index.m3u8
Star Gold HD (1080p),StarGold.in@HD,IN Movies,YES,playing,1.9,66.102.126.10:8000,http://66.102.126.10:8000/play/a00f/index.m3u8
Star Gold Romance (576p),StarGoldRomance.in,IN Movies,YES,playing,1.9,66.102.126.10:8000,http://66.102.126.10:8000/play/a00r/index.m3u8
Star Gold Select HD (1080p),StarGoldSelect.in@HD,IN Movies,YES,playing,1.9,66.102.126.10:8000,http://66.102.126.10:8000/play/a01s/index.m3u8
Star Gold Thrills (576p),StarGoldThrills.in,IN Movies,YES,playing,1.9,66.102.126.10:8000,http://66.102.126.10:8000/play/a00c/index.m3u8
Star Maa Movies HD (720p),StarMaaMovies.in@HD,IN Movies,YES,playing,0.2,da86m1sqpm3o0.cloudfront.net,https://da86m1sqpm3o0.cloudfront.net/28072023/smil:maamovies.smil/chunklist_b2628000.m3u8
Star Movies HD (1080p),StarMovies.in@HD,IN Movies,YES,playing,1.9,66.102.126.10:8000,http://66.102.126.10:8000/play/a021/index.m3u8
Star Movies Select HD (1080p),StarMoviesSelect.in@HD,IN Movies,YES,playing,1.9,66.102.126.10:8000,http://66.102.126.10:8000/play/a020/index.m3u8
Studio One + (576p),StudioOnePlus.in,IN Movies,YES,playing,3.2,mumt04.tangotv.in,https://mumt04.tangotv.in/m18aqlK4STUDIOONEPLUS/index.m3u8
Thalaa TV (1080p),ThalaaTV.in,IN Movies,YES,playing,0.8,streams2.sofast.tv,https://streams2.sofast.tv/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/2069c593-3c07-4d62-9d44-746be5c3a5d6/manifest.m3u8
The Movie Club (1080p),TheMovieClub.in,IN Movies,YES,playing,3.3,sis-global.prod.samsungtv.plus,https://sis-global.prod.samsungtv.plus/v1/tvpprd/sc-mp2ar4ca425xo.m3u8
The Movie Club +2 (1080p),TheMovieClub.in@Plus2,IN Movies,YES,playing,1.8,d3gnyty2vddhsg.cloudfront.net,https://d3gnyty2vddhsg.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/pb-ytipwjqub3kf8/TMC2_IN.m3u8?ads.ads_cdn=cf&ads.cdn=cf
Tolly TV (1080p),TollyTV.in,IN Movies,YES,playing,0.7,streams2.sofast.tv,https://streams2.sofast.tv/v1/master/611d79b11b77e2f571934fd80ca1413453772ac7/13b5735d-52c3-4be0-853d-e0ec0127e708/manifest.m3u8
Zee Cinema (576p),ZeeCinema.in,IN Movies,YES,playing,1.0,d1g8wgjurz8via.cloudfront.net,https://d1g8wgjurz8via.cloudfront.net/bpk-tv/NGCHD/default/NGCHD.m3u8
Zee Cinema APAC (720p),ZeeCinema.in@APAC,IN Movies,YES,playing,0.2,raw.githubusercontent.com,https://raw.githubusercontent.com/amazeyourself/adaptive-streams/refs/heads/main/streams/sg/YuppTV/ZeeCinemaAPAC.m3u8
&pictures (720p),Andpictures.in,IN Movies,no,HTTP 404,10.9,tvsen3.aynaott.com,https://tvsen3.aynaott.com/jzT482XQ/index.m3u8
&TV International (1080p),AndTV.in@International,IN Movies,no,too little data after 3 tries,0.6,amg01117-amg01117c1-amgplt0029.playout.now3.amagi.tv,https://amg01117-amg01117c1-amgplt0029.playout.now3.amagi.tv/playlist/amg01117-amg01117c1-amgplt0029/playlist.m3u8
All Time Movies (576p),AllTimeMovies.in,IN Movies,no,HTTP 404,0.8,tvsen6.aynaott.com,https://tvsen6.aynaott.com/a2cKGQtB/index.m3u8
All Time Movies (576p),AllTimeMovies.in,IN Movies,no,HTTP 404,10.9,streams.tangotv.in,https://streams.tangotv.in/ALLTIMEMOVIES/ORIGIN/index.m3u8
B4U Kadak (576p),B4UKadak.in,IN Movies,no,HTTP 404,0.9,tvsen3.aynaott.com,https://tvsen3.aynaott.com/X9E6bxg3/index.m3u8
