channel,tvg_id,group,working,reason,seconds,host,url
7S Music (360p),7SMusic.in,IN Music,YES,playing,3.0,mumt03.tangotv.in,https://mumt03.tangotv.in/Dsly5z3H7SMUSIC/index.m3u8
7S Music (576p),7SMusic.in,IN Music,YES,playing,2.2,cdn.pishow.tv,https://cdn.pishow.tv/ott/live/1257/master.m3u8
7S Music (576p),7SMusic.in,IN Music,YES,playing,3.4,mumbai-edge.smartplaytv.in,https://mumbai-edge.smartplaytv.in/7SMusic/index.m3u8
8XM HD,8XM.pk@HD,PK Music,YES,playing,1.7,cdn4.mjunoon.tv:8087,https://cdn4.mjunoon.tv:8087/streamtest/135M/chunks.m3u8
9X Jalwa (1080p),9XJalwa.in,IN Music,YES,playing,0.5,wiselp.wiseplayout.com,https://wiselp.wiseplayout.com/9X_Jalwa/master.m3u8
9X Jalwa (576p),9XJalwa.in,IN Music,YES,playing,3.0,mumt03.tangotv.in,https://mumt03.tangotv.in/Dsly5z3H9XJALWA/index.m3u8
9X Jhakaas (1080p),9XJhakaas.in,IN Music,YES,playing,0.6,wiselp.wiseplayout.com,https://wiselp.wiseplayout.com/9X_Jhakaas/master.m3u8
9X Jhakaas (1080p),9XJhakaas.in,IN Music,YES,playing,0.9,amg01281-9xmediapvtltd-9xjhakaas-samsungin-ci2cs.amagi.tv,https://amg01281-9xmediapvtltd-9xjhakaas-samsungin-ci2cs.amagi.tv/playlist/amg01281-9xmediapvtltd-9xjhakaas-samsungin/playlist.m3u8
9X Jhakaas (576p),9XJhakaas.in,IN Music,YES,playing,3.0,mumt03.tangotv.in,https://mumt03.tangotv.in/Dsly5z3H9XJHAKAAS/index.m3u8
9X Tashan (1080p),9XTashan.in,IN Music,YES,playing,0.5,wiselp.wiseplayout.com,https://wiselp.wiseplayout.com/9X_Tashan/master.m3u8
9X Tashan (1080p),9XTashan.in,IN Music,YES,playing,1.6,amg01281-9xmediapvtltd-9xtashan-samsungin-xz1sd.amagi.tv,https://amg01281-9xmediapvtltd-9xtashan-samsungin-xz1sd.amagi.tv/playlist/amg01281-9xmediapvtltd-9xtashan-samsungin/playlist.m3u8
