channel,tvg_id,group,working,reason,seconds,host,url
10 TV (576p),10TV.in,IN News,YES,playing,2.6,cdn-1.pishow.tv,https://cdn-1.pishow.tv/live/391/master.m3u8
10 TV (720p),10TV.in,IN News,YES,playing,3.1,mumbai-edge.smartplaytv.in,https://mumbai-edge.smartplaytv.in/10TV/index.m3u8
22Scope News (1080p),22ScopeNews.in,IN News,YES,playing,4.0,thelegitpro.in,https://thelegitpro.in/HDlive/22scope/index.fmp4.m3u8
24 News (396p),24News.in,IN News,YES,playing,0.5,segment.yuppcdn.net,https://segment.yuppcdn.net/110322/channel24/playlist.m3u8
24 News (576p),24News.in,IN News,YES,playing,3.2,mumt07.tangotv.in,https://mumt07.tangotv.in/zHjX9OFlTWENTYFOURNEWS/index.m3u8
4TV News (576p),4TVNews.in,IN News,YES,playing,2.3,cdn-4.pishow.tv,https://cdn-4.pishow.tv/live/1007/master.m3u8
6 TV Telugu (360p),6TVTelugu.in,IN News,YES,playing,3.3,mumt03.tangotv.in,https://mumt03.tangotv.in/Dsly5z3H6TVTELUGU/index.m3u8
6 TV Telugu (576p),6TVTelugu.in,IN News,YES,playing,1.0,yuppparoriglin.akamaized.net,https://yuppparoriglin.akamaized.net/181224/smil:6tv.smil/playlist.m3u8?hdnts=st=1735898689~exp=1835898688~acl=*~hmac=f5fe24724fe05481e3841f9eb5ab8efdee0a3dd83645ae9dcf45703f525bab7b
92 News HD (720p),92NewsHD.pk,PK News,YES,playing,0.4,92news.vdn.dstreamone.net,http://92news.vdn.dstreamone.net/92newshd/92hd/playlist.m3u8
99TV (720p),99TV.in,IN News,YES,playing,2.5,cdn-1.pishow.tv,https://cdn-1.pishow.tv/live/1211/master.m3u8
Aaj Ki Khabar (1080p),AajKiKhabar.in,IN News,YES,playing,5.3,stream.ottlive.co.in,https://stream.ottlive.co.in/aajkikhabar/index.m3u8
Aaj Tak (404p),AajTak.in,IN News,YES,playing,0.9,aajtaklive-amd.akamaized.net,https://aajtaklive-amd.akamaized.net/hls/live/2014416/aajtak/aajtaklive/live_404p/chunks.m3u8
Aaj Tak (720p),AajTak.in,IN News,YES,playing,0.2,d1rc86nwwc9fag.cloudfront.net,https://d1rc86nwwc9fag.cloudfront.net/vglive-sk-791258/master.m3u8
Aaj Tak HD (1080p),AajTak.in@HD,IN News,YES,playing,2.0,feeds.intoday.in,https://feeds.intoday.in/aajtak/api/aajtakhd/master.m3u8
ABN Andhra Jyoti (576p),ABNAndhraJyoti.in,IN News,YES,playing,2.5,cdn-1.pishow.tv,https://cdn-1.pishow.tv/live/407/master.m3u8
ABN Andhra Jyoti (720p),ABNAndhraJyoti.in,IN News,YES,playing,3.1,mumbai-edge.smartplaytv.in,https://mumbai-edge.smartplaytv.in/ABNAJ/index.m3u8
ABN News (360p),ABNNews.pk,PK News,YES,playing,1.6,vodzong.mjunoon.tv:8087,https://vodzong.mjunoon.tv:8087/streamtest/ABN-161/playlist.m3u8
ABP Ananda (1080p),ABPAnanda.in,IN News,YES,playing,2.2,d2l4ar6y3mrs4k.cloudfront.net,https://d2l4ar6y3mrs4k.cloudfront.net/live-streaming/ananda-livetv/master.m3u8
ABP Asmita (1080p),ABPAsmita.in,IN News,YES,playing,2.3,d2l4ar6y3mrs4k.cloudfront.net,https://d2l4ar6y3mrs4k.cloudfront.net/live-streaming/asmita-livetv/master.m3u8
ABP Ganga (1080p),ABPGanga.in,IN News,YES,playing,2.3,d2l4ar6y3mrs4k.cloudfront.net,https://d2l4ar6y3mrs4k.cloudfront.net/live-streaming/ganga-livetv/master.m3u8
ABP Majha (360p),ABPMajha.in,IN News,YES,playing,0.3,yupprestreamliveus.akamaized.net,https://yupprestreamliveus.akamaized.net/vglive-sk-355289/majha/master.m3u8
ABP News (1080p),ABPNews.in,IN News,YES,playing,0.2,d1rc86nwwc9fag.cloudfront.net,https://d1rc86nwwc9fag.cloudfront.net/vglive-sk-472500/abpnews/master.m3u8
ABP News (1080p),ABPNews.in,IN News,YES,playing,1.3,d2l4ar6y3mrs4k.cloudfront.net,https://d2l4ar6y3mrs4k.cloudfront.net/live-streaming/abpnews-livetv/master.m3u8
Aik News,AikNews.pk@SD,PK News,YES,playing,1.7,s2.ideationtec.live,https://s2.ideationtec.live/Pnn/Pnn.m3u8?token=KsR3k27_sH3n-2
AKD Calcutta News (1080p),AKDCalcuttaNews.in,IN News,YES,playing,3.0,live.legitpro.co.in,https://live.legitpro.co.in/cnnnews/index.m3u8
AKD Calcutta News (576p),AKDCalcuttaNews.in,IN News,YES,playing,2.6,cdn-2.pishow.tv,https://cdn-2.pishow.tv/live/237/master.m3u8
AmarUjala (1080p),AmarUjala.in,IN News,YES,playing,3.3,amarujala.ottlive.co.in,https://amarujala.ottlive.co.in/amarujala/index.m3u8
Ananda Barta (720p),AnandaBarta.in,IN News,YES,playing,2.4,account19.livebox.co.in,https://account19.livebox.co.in/Anandabarta2hls/live.m3u8
ANB News (576p),ANBNews.in,IN News,YES,playing,3.0,mumt05.tangotv.in,https://mumt05.tangotv.in/87NeALx2ANBNEWSNATIONAL/index.m3u8
ANB News (720p),ANBNews.in,IN News,YES,playing,3.0,server.livelegitpro.in:9899,https://server.livelegitpro.in:9899/anbnews/anbnews/index.m3u8
APN (576p),APN.in,IN News,YES,playing,0.8,d1msejlow1t3l4.cloudfront.net,https://d1msejlow1t3l4.cloudfront.net/fta/apnnews/playlist.m3u8
APN (576p),APN.in,IN News,YES,playing,2.9,mumt01.tangotv.in,https://mumt01.tangotv.in/O5aw8Zn3APN/index.m3u8
Argus News (576p),ArgusNews.in,IN News,YES,playing,3.1,mumt05.tangotv.in,https://mumt05.tangotv.in/87NeALx2ARGUSNEWS/index.m3u8
Asianet News (1080p),AsianetNews.in,IN News,YES,playing,1.9,amg13737-amg13737c1-amgplt0016.playout.now3.amagi.tv,https://amg13737-amg13737c1-amgplt0016.playout.now3.amagi.tv/playlist/amg13737-amg13737c1-amgplt0016/playlist.m3u8
Asianet News (1080p),AsianetNews.in,IN News,YES,playing,2.5,asianet-samsung.vgcdn.net,https://asianet-samsung.vgcdn.net/ptnr-monitoring/vglive-sk-906908/playlist.m3u8
Asianet News (360p),AsianetNews.in,IN News,YES,playing,2.0,asianetnews.vgcdn.net,https://asianetnews.vgcdn.net/vglive-sk-917600/playlist.m3u8
Asianet Suvarna News (1080p) [Not 24/7],AsianetSuvarnaNews.in,IN News,YES,playing,1.9,asianetnews.vgcdn.net,https://asianetnews.vgcdn.net/vglive-sk-335835/playlist.m3u8
Assam Talks (576p),AssamTalks.in,IN News,YES,playing,2.0,tvsen7.aynascope.net,http://tvsen7.aynascope.net/AssamTalks/index.m3u8
Awaaz India TV (720p) [Not 24/7],AwaazIndiaTV.in,IN News,YES,playing,2.3,awaazindia.livebox.co.in,https://awaazindia.livebox.co.in/AwaazIndaTVhls/Live.m3u8
Bansal News (576p),BansalNews.in,IN News,YES,playing,0.7,d1msejlow1t3l4.cloudfront.net,https://d1msejlow1t3l4.cloudfront.net/fta/bansalnews/playlist.m3u8
Bansal News (576p),BansalNews.in,IN News,YES,playing,3.2,mumt07.tangotv.in,https://mumt07.tangotv.in/zHjX9OFlBANSALNEWS/index.m3u8
Bharat Express,BharatExpress.in,IN News,YES,playing,2.3,cdn-2.pishow.tv,https://cdn-2.pishow.tv/live/1139/master.m3u8
Bharat Express (480p),BharatExpress.in,IN News,YES,playing,2.2,stream1.livebox.co.in,https://stream1.livebox.co.in/VCAREhls/live.m3u8
Bharat Express (576p),BharatExpress.in,IN News,YES,playing,2.9,mumt07.tangotv.in,https://mumt07.tangotv.in/zHjX9OFlBHARATEXPRESS/index.m3u8
Bharat Samachar (396p),BharatSamachar.in,IN News,YES,playing,0.7,d1msejlow1t3l4.cloudfront.net,https://d1msejlow1t3l4.cloudfront.net/fta/bharatsamachar/playlist.m3u8
Bharat Samachar (576p),BharatSamachar.in,IN News,YES,playing,2.9,tvsen3.aynaott.com,https://tvsen3.aynaott.com/m94BZDYb/index.m3u8
Bharat Samachar (576p),BharatSamachar.in,IN News,YES,playing,3.0,mumt03.tangotv.in,https://mumt03.tangotv.in/Dsly5z3HBHARATSAMACHAR/index.m3u8
Bharat24 (576p),Bharat24.in,IN News,YES,playing,2.8,streams.tangotv.in,https://streams.tangotv.in/BHARAT24/ORIGIN/index.m3u8
BIG TV (720p),BIGTV.in,IN News,YES,playing,2.5,cdn-1.pishow.tv,https://cdn-1.pishow.tv/live/1059/master.m3u8
Big TV 24x7 (576i),BigTV24x7.in,IN News,YES,playing,0.3,d2gvyg6lvauoko.cloudfront.net,https://d2gvyg6lvauoko.cloudfront.net/230226/bigtvmalyalam/playlist.m3u8?hdnts=st=1735898689~exp=1835898688~acl=*~hmac=f5fe24724fe05481e3841f9eb5ab8efdee0a3dd83645ae9dcf45703f525bab7b
