channel,tvg_id,group,working,reason,seconds,host,url
30A Golf Kingdom (720p),30AGolfKingdom.us,US Sports,YES,playing,2.1,30a-tv.com,https://30a-tv.com/feeds/vidaa/golf.m3u8
5Sport (1080p),5Sport.il,IL Sports,YES,playing,1.4,stream.mcquack.net,http://stream.mcquack.net/41/index.m3u8
A Spor (1080p),ASpor.tr@SD,TR Sports,YES,playing,4.3,rnttwmjcin.turknet.ercdn.net,https://rnttwmjcin.turknet.ercdn.net/lcpmvefbyo/aspor/aspor.m3u8
ACC Digital Network (1080p),ACCDigitalNetwork.us,US Sports,YES,playing,0.4,d53csymoczzde.cloudfront.net,https://d53csymoczzde.cloudfront.net/ACC_Digital_Network.m3u8
ACC Network (720p),ACCNetwork.us,US Sports,YES,playing,0.2,23.239.31.26:8989,http://23.239.31.26:8989/accnetwork/index.m3u8
ACCDN (1080p),ACCDigitalNetwork.us,US Sports,YES,playing,0.1,raycom-accdn-firetv.amagi.tv,https://raycom-accdn-firetv.amagi.tv/playlist.m3u8
ACCDN (1080p),ACCDigitalNetwork.us,US Sports,YES,playing,0.2,aegis-cloudfront-1.tubi.video,https://aegis-cloudfront-1.tubi.video/a1e671ae-d1c2-4e39-99c7-889e83056fd2/playlist.m3u8
ACI Sport TV (1080p),ACISportTV.it,IT Sports,YES,playing,2.7,webstream.multistream.it,https://webstream.multistream.it/memfs/e2cb3629-c1a2-495b-b43a-9eb386f04ed8.m3u8
ADO TV (720p),ADOTV.bj,BJ Sports,YES,playing,1.5,strhls.streamakaci.tv,https://strhls.streamakaci.tv/ortb/ortb2-multi/playlist.m3u8
Arena Sport 1,ArenaSport1.sk,SK Sports,YES,playing,0.9,88.212.15.19,http://88.212.15.19/live/test_arenasport/playlist.m3u8
Arena Sport 2,ArenaSport2.sk,SK Sports,YES,playing,0.9,88.212.15.19,http://88.212.15.19/live/test_arenasport_dva/playlist.m3u8
AS3 Sport TV (1080p),AS3SportTV.ve,VE Sports,YES,playing,0.5,streamtv.as3sport.online:3394,https://streamtv.as3sport.online:3394/hybrid/play.m3u8
